area,pmcid,section,section_title,own_work_section,pattern,family,level,match,has_cit,future_or_negation,sentence
A1_imaging,PMC10161767,RESULTS_DISCUSSION,Results and discussion > Data corruption and orientation label transformation st,1,S_robust,S,1,robust to Gaussian noise,0,0,S4 shows that the model trained based on the Poisson noise applied simulated dataset is robust to Gaussian noise.
A1_imaging,PMC10161767,RESULTS_DISCUSSION,Results and discussion > Machine-learning prediction performance,1,E_external,E,1,real world experimental data are used for testing,0,0,Phase I: simulated data are used for both training and testing purposes; phase II: simulated data are used for model training whereas the real world experimental data are used for testing.
A1_imaging,PMC12538699,DISCUSSION,Discussion,0,E_external,E,1,different microscopes,0,1,"A further limitation is that reproducibility was only established within a single laboratory, and cross-laboratory benchmarking across different microscopes, operators, and staining protocols remains an essential future step."
A1_imaging,PMC8665348,INTRO,Introduction,0,S_group,S,1,directly applied to images of new,0,1,The model also performed great generalization ability that it could be directly applied to images of new cell types and substrates without further training.
A1_imaging,PMC8665348,RESULTS,Results > Five-fold cross-validation on the mixed dataset,1,U1_spread,U,1,each fold,0,0,"To thoroughly evaluate the practical performance of SDCNN, we mixed up all images of the 18 different conditions and applied five-fold cross-validation on the mixed dataset (21,600 images). 20% of the dataset (4320 images) was set as the validation set in turn (Fig. 5A), and the accuracy of the model was quite robust on each fold with differences less than 0.003 (less than 0.0005 for AUC, Fig. 5B and C)."
A1_imaging,PMC8665348,FIG,Results > Five-fold cross-validation on the mixed dataset,1,U1_spread,U,1,each fold,0,0,(A) The dataset was randomly divided into five equal parts and one of them was set as the validation set for evaluation and the rest as the training set in turn in each fold.
A1_imaging,PMC8665348,FIG,Results > Five-fold cross-validation on the mixed dataset,1,U1_spread,U,1,different folds,0,0,(C) The accuracy and AUC of different folds on training and validation sets.
A1_imaging,PMC8665348,RESULTS,Results > The generalization ability of the reconstruction model,1,S_group,S,1,directly applied to images with new,0,1,It was also noticed from the image of EC on PDMS (200 × ) that not in all conditions could the model be directly applied to images with new features.
A1_imaging,PMC8471570,RESULTS_DISCUSSION,"3. Results and Discussion > 3.1. CAD Models, Digital Tomographies, and Training ",1,S_group,S,1,new scaffolds,0,0,"The initial CAD library of 20 scaffolding geometries, used for training and validating the 3D CNNs, is already an interesting result, which improves with the addition of the eight additional new scaffolds of Figure 5a, designed for testing the global AI/ML strategy."
A1_imaging,PMC12796348,RESULTS,Results > Deep learning (DL) algorithm for fast and accurate particle analysis,1,S_robust,S,1,robustness to modest height variations,0,0,"Our DL model, trained on raw diffraction images collected from multiple No. 1 coverslips as substrates (manufacturing tolerance ±5–20 µm), achieved consistently high performance in particle detection ( ~ 99%) and code classification ( ~ 94%), indicating robustness to modest height variations."
A1_imaging,PMC12796348,RESULTS,Results > Deep learning (DL) algorithm for fast and accurate particle analysis,1,S_robust,S,1,robust to the range,0,0,"Together, these results demonstrate that MIDAS is robust to the range of z-position variations expected under our assay conditions."
