area,pmcid,U,U2_use,E1,EP,S1,S1_type,confidence,evidence_note
A1_imaging,PMC10161767,U0,,1,0,1,sim-to-real + noise-type,medium,"trained on simulated WAXD patterns, tested on real synchrotron data (phase II); regex missed the sim-to-real test; E1 = independent (experimental) source"
A1_imaging,PMC12538699,U0,,0,0,0,,high,"random stratified split; paper states reproducibility only within one lab"
A1_imaging,PMC8665348,U1,,0,1,1,new cell types/substrates,medium,"per-fold accuracy/AUC plotted (no +/- token, regex miss); models applied directly to new cell types and substrates without retraining (regex miss); separately collected test images"
A1_imaging,PMC8471570,U0,,0,0,0,,high,"CV and hold-out on 20 simulated lattices + augmentation"
A1_imaging,PMC12796348,U0,,0,0,1,acquisition-condition,high,"DL accuracy re-tested across particle height and coverslip thickness; +/- values are assay replicates"
A2_property,PMC12296543,U0,,0,0,0,,high,"decision tree + SHAP; no uncertainty on model"
A2_property,PMC12666576,U0,,0,0,0,,high,"augmented data as training, original data as test"
A2_property,PMC11106676,U1,,0,0,0,,low,"standard deviation of Sn/Sp across three resampled datasets (robustness table); 'SDV' token not in regex"
A2_property,PMC9546622,U0,,0,1,0,,high,"de novo collagen sequences synthesised and Tm measured"
A2_property,PMC11165469,U0,,0,0,0,,high,"random 80/20 split of FE-simulated images; FE (not experimental) verification of a design"
A3_sensors,PMC11377509,U0,,0,0,0,,high,"leave-one-out CV only"
A3_sensors,PMC10039194,U0,,0,0,0,,high,"digit recognition, standard test digits"
A3_sensors,PMC10407620,U0,,0,0,0,,medium,"'each model tested five times' - spread only in SI Table S2 (not screened)"
A3_sensors,PMC12499495,U0,,0,0,0,,high,"CNN motion classification, confusion matrix"
A3_sensors,PMC11348057,U0,,0,0,0,,high,"80/20 split, 100% accuracy"
A4_tissue,PMC11468966,U0,,0,1,0,,high,"optimal hydrogel made and measured vs ANN prediction (regex miss)"
A4_tissue,PMC11085928,U0,,0,0,0,,high,"validation IoU only"
A4_tissue,PMC10070414,U0,,0,0,1,input-size extrapolation,low,"explicit test of spatial extrapolation to larger domains; borderline as a distribution-shift test"
A4_tissue,PMC11170757,U0,,0,0,0,,high,"agreement with blind manual measurement on same images"
A4_tissue,PMC8778756,U0,,0,0,0,,high,"conclusion states test hearts were those used for training/validation"
A5_autonomous,PMC12511971,U0,,0,1,0,,medium,"KRLS model; 95% CI band in a figure refers to experimental data; Pareto points run experimentally"
A5_autonomous,PMC12587402,U2,internal,0,1,0,,medium,"GP surrogates in BO; MAE of GP predictions on subsequent iterations (EP borderline)"
A5_autonomous,PMC11422183,U2,internal,0,1,0,,medium,"GPyOpt BO with EI/MPI/LCB; predictions validated by new experiments"
A5_autonomous,PMC12157168,U2,internal,0,1,0,,high,"GP-based BO; CV RMSE +/- SD (U1); 'well-calibrated' asserted not assessed; 22 new experiments as test set (regex miss)"
A5_autonomous,PMC12590431,U2,reported,0,1,0,,high,"GPR mean +/- SD reported vs experiment; optimum region verified by tabletting (regex miss)"
