area,pmcid,section,section_title,own_work_section,pattern,family,level,match,has_cit,future_or_negation,sentence
A1_imaging,PMC10161767,RESULTS_DISCUSSION,Results and discussion > Data corruption and orientation label transformation st,1,S_robust,S,1,robust to,0,0,S4 shows that the model trained based on the Poisson noise applied simulated dataset is robust to Gaussian noise.
A1_imaging,PMC12538699,METHODS,Materials and methods > Image acquisition,1,U3_calibration,U,3,sharpness,0,0,"Based on visual sharpness of the phalloidin signal, a tilt heatmap—a visual representation of variations in focal plane height across the chip—was generated for each chip."
A1_imaging,PMC12538699,RESULTS,Results > TopoChip fabrication,1,E_prospective,EP,1,fabricated and characterized,0,0,"To produce a high quality image data set of podocytes grown on a library of topographies, polystyrene TopoChips with 2176 unique micro-topographies were fabricated and characterized."
A1_imaging,PMC12538699,RESULTS,Results > LightGBM-based classification to illustrate predictive utility of topo,1,S_robust,S,1,transfer learning,0,0,"The database is intentionally modular and designed to support a broad spectrum of ML tasks—ranging from multi-class classification and regression to unsupervised clustering, feature selection, or even few-shot transfer learning."
A1_imaging,PMC12538699,DISCUSSION,Discussion,0,E_external,E,1,different microscopes,0,1,"A further limitation is that reproducibility was only established within a single laboratory, and cross-laboratory benchmarking across different microscopes, operators, and staining protocols remains an essential future step."
A1_imaging,PMC12538699,DISCUSSION,Discussion,0,S_group,S,1,cross-laboratory,0,1,"A further limitation is that reproducibility was only established within a single laboratory, and cross-laboratory benchmarking across different microscopes, operators, and staining protocols remains an essential future step."
A1_imaging,PMC8665348,FIG,Results > The intelligent workflow and dataset preparation,1,E_external,E,1,new dataset,0,0,(C) The trained model can be fast applied to a new dataset through transfer learning requiring only a small amount of new data.
A1_imaging,PMC8665348,FIG,Results > The intelligent workflow and dataset preparation,1,S_robust,S,1,transfer learning,0,0,(C) The trained model can be fast applied to a new dataset through transfer learning requiring only a small amount of new data.
A1_imaging,PMC8665348,RESULTS,Results > Transfer learning of the SDCNN model,1,S_robust,S,1,transfer learning,0,0,"To illustrate the practicability of rapidly applying our model to new images, we compared the data amount needed respectively for transfer learning and new training (start with a randomly initialized model) to achieve convergence."
A1_imaging,PMC8665348,RESULTS,Results > Transfer learning of the SDCNN model,1,S_robust,S,1,transfer learning,0,1,"Compared with new training, transfer learning could save hundreds of images needed to achieve the same accuracy and AUC."
A1_imaging,PMC8665348,RESULTS,Results > Transfer learning of the SDCNN model,1,S_robust,S,1,transfer learning,0,0,The superiority of transfer learning vanishes gradually when the size of the training set reaches a certain extent.
