hit,area,pmcid,section,pattern,family,match,verdict,supports,fp_category,note,sentence
0,A1_imaging,PMC10161767,RESULTS_DISCUSSION,S_robust,S,robust to Gaussian noise,TP,S1,,"trained with Poisson-noise simulations, tested under Gaussian noise (synthetic shift)",S4 shows that the model trained based on the Poisson noise applied simulated dataset is robust to Gaussian noise.
1,A1_imaging,PMC10161767,RESULTS_DISCUSSION,E_external,E,real world experimental data are used for testing,TP,E1,,simulation-trained model tested on real experimental data,Phase I: simulated data are used for both training and testing purposes; phase II: simulated data are used for model training whereas the real world experimental data are used for testing.
2,A1_imaging,PMC12538699,DISCUSSION,E_external,E,different microscopes,FP,,LIMITATION_OR_FUTURE_WORK,explicitly states cross-lab benchmarking NOT done (informative negative for E/S),"A further limitation is that reproducibility was only established within a single laboratory, and cross-laboratory benchmarking across different microscopes, operators, and staining protocols remains an essential future step."
3,A1_imaging,PMC8665348,INTRO,S_group,S,directly applied to images of new,TP,S1,,own result summarised at end of Introduction,The model also performed great generalization ability that it could be directly applied to images of new cell types and substrates without further training.
4,A1_imaging,PMC8665348,RESULTS,U1_spread,U,each fold,FP,,PROCEDURE_ONLY,"describes 5-fold CV set-up, no spread reported here","To thoroughly evaluate the practical performance of SDCNN, we mixed up all images of the 18 different conditions and applied five-fold cross-validation on the mixed dataset (21,600 images). 20% of the dataset (4320 images) was set as the validation set in turn (Fig. 5A), and the accuracy of the mode"
5,A1_imaging,PMC8665348,FIG,U1_spread,U,each fold,FP,,PROCEDURE_ONLY,,(A) The dataset was randomly divided into five equal parts and one of them was set as the validation set for evaluation and the rest as the training set in turn in each fold.
6,A1_imaging,PMC8665348,FIG,U1_spread,U,different folds,TP,U1,,per-fold metrics plotted,(C) The accuracy and AUC of different folds on training and validation sets.
7,A1_imaging,PMC8665348,RESULTS,S_group,S,directly applied to images with new,TP,S1,,failure on new conditions reported,It was also noticed from the image of EC on PDMS (200 × ) that not in all conditions could the model be directly applied to images with new features.
8,A1_imaging,PMC8471570,RESULTS_DISCUSSION,S_group,S,new scaffolds,FP,,ORDINARY_HOLDOUT,new lattice designs = ordinary test samples,"The initial CAD library of 20 scaffolding geometries, used for training and validating the 3D CNNs, is already an interesting result, which improves with the addition of the eight additional new scaffolds of Figure 5a, designed for testing the global AI/ML strategy."
9,A1_imaging,PMC12796348,RESULTS,S_robust,S,robustness to modest height variations,TP,S1,,accuracy re-tested under particle-height / coverslip-thickness variation,"Our DL model, trained on raw diffraction images collected from multiple No. 1 coverslips as substrates (manufacturing tolerance ±5–20 µm), achieved consistently high performance in particle detection ( ~ 99%) and code classification ( ~ 94%), indicating robustness to modest height variations."
10,A1_imaging,PMC12796348,RESULTS,S_robust,S,robust to the range,TP,S1,,accuracy re-tested under particle-height / coverslip-thickness variation,"Together, these results demonstrate that MIDAS is robust to the range of z-position variations expected under our assay conditions."
11,A2_property,PMC11106676,TABLE,U1_spread,U,SDV,TP,U1,,SD of Sn/Sp across three resampled datasets (borderline),SDV | Model | t | v | AUROC(t/v).
12,A2_property,PMC9546622,METHODS,E_prospective,EP,experimental validation,TP,EP,,de novo sequences synthesised and measured,Several de novo sequences from the ColGen-GA model were selected for synthesis and experimental validation.
13,A4_tissue,PMC11468966,RESULTS,E_prospective,EP,close to those predicted,TP,EP,,optimal formulation made and compared with prediction,"The properties of the optimal hydrogel composition (OGEL) selected by INForm following Table 1 conditions, were close to those predicted, validating the obtained ANN model."
14,A4_tissue,PMC10070414,RESULTS,S_ood,S,extrapolation,TP,S1,,explicit test of spatial (input-size) extrapolation; borderline,"In this section, the spatial extrapolation of the as-trained CNN to modeling spinodal decomposition and thus deriving spinodal structure of large dimensions is demonstrated."
15,A4_tissue,PMC10070414,FIG,S_ood,S,extrapolation,TP,S1,,explicit test of spatial (input-size) extrapolation; borderline,Spatial extrapolation of the as-trained CNN to generating large spinodal structures.
16,A4_tissue,PMC10070414,DISCUSSION,S_ood,S,extrapolative,FP,,GENERIC_DISCUSSION,"known issue of temporal extrapolation, not tested","The problem can become even more serious when we predict into far future, i.e. extrapolative prediction along the time axis."
17,A5_autonomous,PMC12511971,ABSTRACT,E_prospective,EP,experimentally validated,TP,EP,,Pareto-optimal conditions run and compared with model,"Multiobjective Pareto optimization was subsequently used to identify conditions that maximize polymer production rate, and these conditions were experimentally validated to confirm the model accurately predicts optimal reaction conditions."
18,A5_autonomous,PMC12511971,RESULTS_DISCUSSION,E_prospective,EP,experimentally verified,TP,EP,,Pareto-optimal conditions run and compared with model,Selected points on each Pareto front were then experimentally verified.
19,A5_autonomous,PMC12511971,TABLE,E_prospective,EP,Experimental Verification,TP,EP,,Pareto-optimal conditions run and compared with model,"Run 16: Comparison of Conversion Results for the Model, Linear Interpolation, and the Experimental Verification for Points Chosen from Pareto Optimization Case 1 Entry | [LLA]0/[BnOH]0/[DBU]0 | Time (s) | [DBU] (mM) | linear | KRLS | X batch | Xflow | M n,batch (kDa) | M n,flow (kDa) | Đ batch | Đ f"
20,A5_autonomous,PMC12511971,RESULTS_DISCUSSION,E_prospective,EP,experimental validation,TP,EP,,Pareto-optimal conditions run and compared with model,This experimental validation of the model and the fact that the Pareto front in Figure comprises points not captured by the experimental sample space validate this methodology as a useful way to increase production efficiency.
21,A5_autonomous,PMC12511971,RESULTS_DISCUSSION,E_prospective,EP,Experimental validation,TP,EP,,Pareto-optimal conditions run and compared with model,"Experimental validation in both cases matched well with equivalent batch reactions (Tables and , Figures S18 and S19)."
22,A5_autonomous,PMC12511971,TABLE,E_prospective,EP,Experimental Verification,TP,EP,,Pareto-optimal conditions run and compared with model,"Run 17: Comparison between Conversion Results for the Model, Linear Interpolation, and Experimental Verification for Points Chosen from Pareto Optimization Case 2 Entry | [LLA]0/ [BnOH]0/[DBU]0 | Time (s) | [DBU] (mM) | linear | KRLS | X batch | Xflow | M n,batch (kDa) | M n,flow (kDa) | Đ batch | Đ"
23,A5_autonomous,PMC12587402,INTRO,U2_acquisition,U,acquisition function,FP,,BACKGROUND_GENERAL,generic BO description with citation,"[CIT] By utilizing a probabilistic surrogate model that approximates the system’s behavior, the BO algorithm iteratively proposes new experiments based on a defined acquisition function, balancing exploitation and exploration of the design space."
24,A5_autonomous,PMC12587402,METHODS,U2_gp,U,Gaussian process,TP,U2,,GP surrogate in BO (uncertainty used internally),"Each objective was modeled by an independent Gaussian process (GP) using a Matern 5/2 kernel, and the length scales and output variance were determined using maximum likelihood estimation."
25,A5_autonomous,PMC12587402,METHODS,U2_gp,U,Kriging,TP,U2,,GP surrogate in BO (uncertainty used internally),"The batch size was set to five with a greedy strategy for suggesting multiple points (Kriging believer[CIT] ), the initialization consisted of 13 points, randomly sampled from a uniform distribution across the variable space."
26,A5_autonomous,PMC12587402,RESULTS_DISCUSSION,U2_gp,U,Kriging,TP,U2,,GP surrogate in BO (uncertainty used internally),"To enable the parallel execution of n experiments, a greedy strategy (Kriging Believer[CIT] ) is applied, which involves retraining the model n – 1 times on fantasized results."
27,A5_autonomous,PMC12587402,FIG,U2_gp,U,Kriging,TP,U2,,GP surrogate in BO (uncertainty used internally),"To enable parallel execution of n experiments, a greedy Kriging Believer strategy retrains the model n – 1 times on fantasized results."
28,A5_autonomous,PMC12587402,RESULTS_DISCUSSION,S_ood,S,extrapolating,FP,,NOT_ML,experimental caution about protein concentration,"These findings underscore that extrapolating results from low to high protein concentrations should be approached with caution, as no single property can reliably serve as a proxy for the others."
29,A5_autonomous,PMC11422183,ABSTRACT,E_prospective,EP,experimental validation,TP,EP,,,"Additionally, we develop a regression model and demonstrate its utility in predicting and analyzing the relationship between experimental parameters and hydrogel properties through experimental validation."
30,A5_autonomous,PMC11422183,INTRO,S_group,S,new materials,FP,,BACKGROUND_GENERAL,,"During the past few years, AI has been extensively employed in the development of hydrogels, including detecting, predicting and optimizing their properties, data processing and even discovering new materials for hydrogels [[CIT] ]."
31,A5_autonomous,PMC11422183,METHODS,U2_acquisition,U,expected improvement,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"Three acquisition types, expected improvement (EI), maximum probability of improvement (MPI) and lower confidence bound (LCB) were used."
32,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,acquisition functions,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"In each iteration of the Bayesian optimization, three acquisition functions are used, including the EI, MPI and LCB."
33,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,acquisition functions,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"These acquisition functions play a crucial role in the Bayesian optimization loop, iteratively guiding the exploration of the search space to efficiently locate the global optimum of the unknown objective function."
34,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,exploration and exploitation,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"Different sampling strategies strike a balance between exploration and exploitation, facilitating the efficient search for the global optimum."
35,A5_autonomous,PMC11422183,RESULTS_DISCUSSION,U2_acquisition,U,acquisition functions,TP,U2,,EI/MPI/LCB acquisition (GPyOpt GP surrogate),"After the dataset is imported to the algorithm, the three acquisition functions respectively derive the possible position X of the component with the best properties in the parameter space based on the existing data set."
36,A5_autonomous,PMC11422183,CONCLUSION,E_prospective,EP,experimental verification,TP,EP,,conclusion restating own experimental verification,"Further experimental verification shows that the predicted properties change trend by the model aligns with the properties change trend obtained experimentally, reflecting the practicality of the machine learning model."
37,A5_autonomous,PMC12157168,INTRO,U2_gp,U,Gaussian process,FP,,BACKGROUND_GENERAL,,"Among them, the Bayesian optimization (BO) algorithm is an iterative process in which unknown system responses are modelled using Gaussian process (GP) models."
38,A5_autonomous,PMC12157168,INTRO,U2_acquisition,U,acquisition function,FP,,BACKGROUND_GENERAL,,The GP models are then used to compute an acquisition function that assesses experimental design with regard to the set objectives [[CIT] ].
39,A5_autonomous,PMC12157168,INTRO,E_prospective,EP,new experimental data,FP,,BACKGROUND_GENERAL,,This cycle of generating new experimental data and feeding these additional experimental data to the database can be repeated.
40,A5_autonomous,PMC12157168,METHODS,U3_calibration,U,calibrated uncertainties,FP,U2,CLAIM_WITHOUT_ASSESSMENT,"'well-calibrated uncertainties' asserted for GP, calibration never assessed -> supports U2 only","More specifically, it models the data already acquired in previous steps of the optimization process and provides well-calibrated uncertainties for every prediction, which is crucial for the exploration strategy (choosing which areas to explore to improve model performance)."
41,A5_autonomous,PMC12157168,METHODS,U2_acquisition,U,acquisition function,TP,U2,,acquisition balancing exploration/exploitation,The second major design decision for BO is the choice of an acquisition function.
