hit,area,pmcid,section,pattern,family,match,verdict,supports,fp_category,note,sentence
0,A1_imaging,PMC10161767,RESULTS_DISCUSSION,S_robust,S,robust to,TP,S1,,"trained with Poisson-noise simulations, tested under Gaussian noise (synthetic shift)",S4 shows that the model trained based on the Poisson noise applied simulated dataset is robust to Gaussian noise.
1,A1_imaging,PMC12538699,METHODS,U3_calibration,U,sharpness,FP,,HOMONYM,image sharpness,"Based on visual sharpness of the phalloidin signal, a tilt heatmap—a visual representation of variations in focal plane height across the chip—was generated for each chip."
2,A1_imaging,PMC12538699,RESULTS,E_prospective,EP,fabricated and characterized,FP,,HOMONYM,"material fabrication, not validation of predictions","To produce a high quality image data set of podocytes grown on a library of topographies, polystyrene TopoChips with 2176 unique micro-topographies were fabricated and characterized."
3,A1_imaging,PMC12538699,RESULTS,S_robust,S,transfer learning,FP,,NOT_AN_EVALUATION,possible future uses of dataset,"The database is intentionally modular and designed to support a broad spectrum of ML tasks—ranging from multi-class classification and regression to unsupervised clustering, feature selection, or even few-shot transfer learning."
4,A1_imaging,PMC12538699,DISCUSSION,E_external,E,different microscopes,FP,,LIMITATION_OR_FUTURE_WORK,explicitly states cross-lab benchmarking NOT done (informative negative for E/S),"A further limitation is that reproducibility was only established within a single laboratory, and cross-laboratory benchmarking across different microscopes, operators, and staining protocols remains an essential future step."
5,A1_imaging,PMC12538699,DISCUSSION,S_group,S,cross-laboratory,FP,,LIMITATION_OR_FUTURE_WORK,explicitly states cross-lab benchmarking NOT done (informative negative for E/S),"A further limitation is that reproducibility was only established within a single laboratory, and cross-laboratory benchmarking across different microscopes, operators, and staining protocols remains an essential future step."
6,A1_imaging,PMC8665348,FIG,E_external,E,new dataset,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,(C) The trained model can be fast applied to a new dataset through transfer learning requiring only a small amount of new data.
7,A1_imaging,PMC8665348,FIG,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,(C) The trained model can be fast applied to a new dataset through transfer learning requiring only a small amount of new data.
8,A1_imaging,PMC8665348,RESULTS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,"To illustrate the practicability of rapidly applying our model to new images, we compared the data amount needed respectively for transfer learning and new training (start with a randomly initialized model) to achieve convergence."
9,A1_imaging,PMC8665348,RESULTS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,"Compared with new training, transfer learning could save hundreds of images needed to achieve the same accuracy and AUC."
10,A1_imaging,PMC8665348,RESULTS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,The superiority of transfer learning vanishes gradually when the size of the training set reaches a certain extent.
11,A1_imaging,PMC8665348,RESULTS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,A similar trend was observed that transfer learning outperformed new training when the training set size was relatively small.
12,A1_imaging,PMC8665348,RESULTS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,"Especially for transfer learning from 200 × magnification to 100 × magnification, near 5000 images were saved through the transfer approach (Fig. 4D)."
13,A1_imaging,PMC8665348,RESULTS,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,"Thus, transfer learning is worth trying when the data amount is relatively limited."
14,A1_imaging,PMC8665348,FIG,S_robust,S,transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,Accuracy and AUC as a function of the training set size (number of training images) through transfer learning or new training.
15,A1_imaging,PMC8665348,FIG,S_robust,S,Transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,(C) Transfer learning of models from images of 100 × magnification to 200 × magnification.
16,A1_imaging,PMC8665348,FIG,S_robust,S,Transfer learning,FP,,TRANSFER_LEARNING_ADAPTATION,fine-tuning on target data; not an evaluation of the unadapted model under shift,(D) Transfer learning of models from images of 200 × magnification to 100 × magnification. “No transfer” represented that the training was started from a randomly initialized model on the target dataset.
